table_name,league_id,league_name,season,classification,verify_row_count,allwin_row_count,match_ids_only_in_verify,match_ids_only_in_allwin,common_match_ids,row_count_delta,mismatch_row_count,mismatch_types,notes,representative_ids
fact_match_events,55,SerieA,2023/2024,EXACT,7893,7893,0,0,380,0,0,,,
fact_match_events,55,SerieA,2024/2025,EXACT,7680,7680,0,0,380,0,0,,,
fact_match_events,55,SerieA,2025/2026,EXACT,7612,7612,0,0,380,0,0,,,
fact_match_events,87,LaLiga,2020/2021,EXACT,7433,7433,0,0,380,0,0,,,
fact_match_events,87,LaLiga,2021/2022,EXACT,8013,8013,0,0,380,0,0,,,
fact_match_events,87,LaLiga,2022/2023,EXACT,8083,8083,0,0,380,0,0,,,
fact_match_events,87,LaLiga,2023/2024,EXACT,8073,8073,0,0,380,0,0,,,
fact_match_events,87,LaLiga,2024/2025,EXACT,7980,7980,0,0,380,0,0,,,
fact_match_events,87,LaLiga,2025/2026,EXACT,8024,8024,0,0,380,0,0,,,
fact_match_lineup,53,Ligue1,2020/2021,EXACT,15144,15144,0,0,380,0,0,,,
fact_match_lineup,53,Ligue1,2021/2022,EXACT,15091,15091,0,0,380,0,0,,,
fact_match_lineup,53,Ligue1,2022/2023,EXACT,15069,15069,0,0,380,0,0,,,
fact_match_lineup,53,Ligue1,2023/2024,EXACT,12225,12225,0,0,306,0,0,,,
fact_match_lineup,53,Ligue1,2024/2025,EXACT,12218,12218,0,0,306,0,0,,,
fact_match_lineup,53,Ligue1,2025/2026,EXACT,12205,12205,0,0,306,0,0,,,
fact_match_lineup,54,Bundesliga,2020/2021,EXACT,12157,12157,0,0,306,0,0,,,
fact_match_lineup,54,Bundesliga,2021/2022,EXACT,12125,12125,0,0,306,0,0,,,
fact_match_lineup,54,Bundesliga,2022/2023,EXACT,12169,12169,0,0,306,0,0,,,
fact_match_lineup,54,Bundesliga,2023/2024,EXACT,12152,12152,0,0,306,0,0,,,
fact_match_lineup,54,Bundesliga,2024/2025,EXACT,12208,12208,0,0,306,0,0,,,
fact_match_lineup,54,Bundesliga,2025/2026,EXACT,12218,12218,0,0,306,0,0,,,
fact_match_lineup,55,SerieA,2020/2021,EXACT,17066,17066,0,0,380,0,0,,,
fact_match_lineup,55,SerieA,2021/2022,EXACT,16925,16925,0,0,380,0,0,,,
fact_match_lineup,55,SerieA,2022/2023,EXACT,17875,17875,0,0,381,0,0,,,
fact_match_lineup,55,SerieA,2023/2024,EXACT,17692,17692,0,0,380,0,0,,,
fact_match_lineup,55,SerieA,2024/2025,EXACT,17689,17689,0,0,380,0,0,,,
fact_match_lineup,55,SerieA,2025/2026,EXACT,17772,17772,0,0,380,0,0,,,
fact_match_lineup,87,LaLiga,2020/2021,EXACT,16569,16569,0,0,380,0,0,,,
fact_match_lineup,87,LaLiga,2021/2022,EXACT,16762,16762,0,0,380,0,0,,,
fact_match_lineup,87,LaLiga,2022/2023,EXACT,16723,16723,0,0,380,0,0,,,
fact_match_lineup,87,LaLiga,2023/2024,EXACT,16685,16685,0,0,380,0,0,,,
fact_match_lineup,87,LaLiga,2024/2025,EXACT,16934,16934,0,0,380,0,0,,,
fact_match_lineup,87,LaLiga,2025/2026,EXACT,16941,16941,0,0,380,0,0,,,
fact_player_match_stats,53,Ligue1,2020/2021,EXACT,11498,11498,0,0,380,0,0,,,
fact_player_match_stats,53,Ligue1,2021/2022,EXACT,11527,11527,0,0,380,0,0,,,
fact_player_match_stats,53,Ligue1,2022/2023,EXACT,11541,11541,0,0,380,0,0,,,
fact_player_match_stats,53,Ligue1,2023/2024,EXACT,9392,9392,0,0,306,0,0,,,
fact_player_match_stats,53,Ligue1,2024/2025,EXACT,9413,9413,0,0,306,0,0,,,
fact_player_match_stats,53,Ligue1,2025/2026,EXACT,9408,9408,0,0,306,0,0,,,
fact_player_match_stats,54,Bundesliga,2020/2021,EXACT,9271,9271,0,0,306,0,0,,,
fact_player_match_stats,54,Bundesliga,2021/2022,EXACT,9391,9391,0,0,306,0,0,,,
fact_player_match_stats,54,Bundesliga,2022/2023,EXACT,9480,9480,0,0,306,0,0,,,
fact_player_match_stats,54,Bundesliga,2023/2024,EXACT,9526,9526,0,0,306,0,0,,,
fact_player_match_stats,54,Bundesliga,2024/2025,EXACT,9528,9528,0,0,306,0,0,,,
fact_player_match_stats,54,Bundesliga,2025/2026,EXACT,9555,9555,0,0,306,0,0,,,
fact_player_match_stats,55,SerieA,2020/2021,EXACT,11612,11612,0,0,380,0,0,,,
fact_player_match_stats,55,SerieA,2021/2022,EXACT,11717,11717,0,0,380,0,0,,,
fact_player_match_stats,55,SerieA,2022/2023,EXACT,11916,11916,0,0,381,0,0,,,
fact_player_match_stats,55,SerieA,2023/2024,EXACT,11910,11910,0,0,380,0,0,,,
fact_player_match_stats,55,SerieA,2024/2025,EXACT,11887,11887,0,0,380,0,0,,,
fact_player_match_stats,55,SerieA,2025/2026,EXACT,11928,11928,0,0,380,0,0,,,
fact_player_match_stats,87,LaLiga,2020/2021,EXACT,11607,11607,0,0,380,0,0,,,
fact_player_match_stats,87,LaLiga,2021/2022,EXACT,11806,11806,0,0,380,0,0,,,
fact_player_match_stats,87,LaLiga,2022/2023,EXACT,11801,11801,0,0,380,0,0,,,
fact_player_match_stats,87,LaLiga,2023/2024,EXACT,11854,11854,0,0,380,0,0,,,
fact_player_match_stats,87,LaLiga,2024/2025,EXACT,11900,11900,0,0,380,0,0,,,
fact_player_match_stats,87,LaLiga,2025/2026,EXACT,11953,11953,0,0,380,0,0,,,
fact_shotmap,53,Ligue1,2020/2021,EXACT,8899,8899,0,0,380,0,0,,,
fact_shotmap,53,Ligue1,2021/2022,EXACT,9152,9152,0,0,380,0,0,,,
fact_shotmap,53,Ligue1,2022/2023,EXACT,9350,9350,0,0,380,0,0,,,
fact_shotmap,53,Ligue1,2023/2024,EXACT,7797,7797,0,0,306,0,0,,,
fact_shotmap,53,Ligue1,2024/2025,EXACT,7655,7655,0,0,306,0,0,,,
